Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34068470,Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,Homer,"Homer, Homer",Emily Wilson,393089053,9.78039E+12,5,3.75,Hodder & Stoughton,Hardcover,582,2017,-725,12/16/2017,12/13/2017,"greece, greek, classic","greece (#7), greek (#6), classic (#4)",read,,,,1,,,0,,,,,
16678240,Rise of the Right,Stephen McGeagh,"McGeagh, Stephen",,1907773339,9.78191E+12,0,3.72,Picador USA,Paperback,176,2012,2012,,3/12/2019,to-read,to-read (#1735),to-read,,,,0,,,0,,,,,
3717320,Winners Take All: The Elite Charade of Changing the World,Don Thompson,"Thompson, Don",,230610226,9.78023E+12,0,3.86,Crown Publishing Group (NY),Hardcover,272,2008,2008,,3/12/2019,to-read,to-read (#1734),to-read,"Every ghost story, every horror movie, starts with a dumb idea - in this case, three 'friends' (a married couple and their widowed friend) set out to a small island community in Iceland, a mostly abandoned tiny hamlet, in <i>winter</i>, to renovate a long-abandoned building whose previous owner mysteriously disappeared - with the idea to turn it into a hotel?!? With those demonic crosses painted onto the door?<br/><br/><i>amazing idea</i><br/><br/>at the same time, the second story concerns a 'main land' psychologist who (convenient for the story) also moonlights as a regular doc. A few years ago his son disappears, and that caused his marriage to fall apart. His son's disappearance is linked to mysterious events, which in turn are linked to what's going on in the remote community.<br/><br/>In many aspects it's a classic ghost story, some things work really well,<br/>especially the creepy atmosphere in the run-down community, and that <spoiler>short moment where it's not clear whether the ghost existed in the first place, whether everything was caused by a murder plot</spoiler>), <br/>some things don't work  and feel a bit cliched (jump scares like 'person looks into mirror, sees someone behind her, turns around, no-one there!' work much better in movies than in writing, and <i>of course</i> there's a crazy grandma who's seen it all before and isn't helpful at all!).<br/><br/>Characters are well-developed and everybody gets a believable backstory, a nifty ghost-story if you're feeling like some classical 'creepy child-ghost in the dark' reading",,,0,,,0,,,,,
15852019,Fragnemt,Yrsa Sigurðardóttir,"Sigurðardóttir, Yrsa",Philip Roughton,1444738496,9.78144E+12,3,3.85,Mit Press,Paperback,391,2012,2010,,3/1/2019,"iceland, horror, ghost-story","iceland (#1), horror (#11), ghost-story (#1)",read,,,,1,,,0,,,,,
34930832,When Death Becomes Life: Notes from a Transplant Surgeon,Menno Schilthuizen,"Schilthuizen, Menno",,1250127823,9.78125E+12,0,4.06,Columbia Global Reports,Hardcover,304,2018,2018,,3/10/2019,to-read,to-read (#1733),to-read,,,,0,,,0,,,,,
35356384,The Art of the Personal Essay: An Anthology from the Classical Era to the Present,Steven Levitsky,"Levitsky, Steven",Daniel Ziblatt,1524762938,9.78152E+12,0,4.24,O'Reilly Media,Hardcover,320,2018,2018,,3/10/2019,to-read,to-read (#1732),to-read,,,,0,,,0,,,,,
39644215,Comanche Moon,Ben Barres,"Barres, Ben",Nancy Hopkins,262039117,9.78026E+12,0,4.07,Hardie Grant Books,Hardcover,160,2018,,,3/10/2019,to-read,to-read (#1731),to-read,,,,0,,,0,,,,,
40081165,Generous Thinking: A Radical Approach to Saving the University,Tim Wu,"Wu, Tim",,999745468,9.781E+12,0,4.14,Knopf Publishing Group,Paperback,154,2018,2018,,3/8/2019,to-read,to-read (#1730),to-read,,,,0,,,0,,,,,
40014286,Dead Man's Walk,Claus O Wilke,"Wilke, Claus O",,1492031089,9.78149E+12,0,4.56,,Paperback,390,2019,,,3/8/2019,to-read,to-read (#1729),to-read,,,,0,,,0,,,,,
43634027,Threats,Greg Barns,"Barns, Greg",,,9.78174E+12,0,3.58,Harper,Paperback,160,2019,,,3/7/2019,to-read,to-read (#1728),to-read,,,,0,,,0,,,,,
37506348,Inventing Temperature: Measurement and Scientific Progress,Anand Giridharadas,"Giridharadas, Anand",,451493249,9.78045E+12,5,4.22,Anchor,Hardcover,288,2018,2018,,10/7/2018,"non-fiction, politics","non-fiction (#164), politics (#3)",read,,,,1,,,0,,,,,
44069789,Bolívar: American Liberator,ctrlcreep,"ctrlcreep, ctrlcreep",,,,0,4.8,Simon  Schuster,Kindle Edition,249,2019,,,3/3/2019,to-read,to-read (#1727),to-read,,,,0,,,0,,,,,
37868562,Invisible Women: Data Bias in a World Designed for Men,Joshua D. Mezrich,"Mezrich, Joshua D.",,,,0,4.2,Johns Hopkins University Press,ebook,384,2019,2019,,3/3/2019,to-read,to-read (#1726),to-read,"Much, much better than the preceding Deadman's Walk - there's more focus on Gus and Call, but also much more from the perspective of Native Americans. Larger-than-life characters like Buffalo Hump,  Captain Inish Scull, or Ahumado  are better drawn-out. I guess McMurtry follows the Stephen King school of writing, i.e., just write down whatever comes to mind and don't bother with an overarching plan, because like some of King's novels this suffers from being a bit unfocused - stuff happens, other stuff happens, there's no particular overarching structure connecting everything. Still, the world McMurtry builds here is alive, and worth another visit.",,,0,,,0,,,,,
27432,In Favour of the Sensitive Man,Phillip Lopate,"Lopate, Phillip",,038542339X,9.78039E+12,0,4.2,Simon  Schuster,Paperback,777,1997,1994,,3/2/2019,to-read,to-read (#1725),to-read,,,,0,,,0,,,,,
54807,We Cast a Shadow,Larry McMurtry,"McMurtry, Larry",,684857553,9.78068E+12,3,4.02,FSG Originals,Paperback,716,2000,1997,,3/2/2019,"western, america","western (#6), america (#79)",read,"Dead Man's Walk is to Lonesome Dove what A New Hope is to The Phantom Menace - it's a prequel, it was published later, and I guess it's not so great?<br/><br/>The story concerns a troop of Texas Rangers in times when that troops mostly consisted of hiring anyone who came along and then sending them off on poorly-planned expeditions, without much training or equipment. Gus and Call are two young, poor, unemployed friends who get hired that way, and immediately sent off to harebrained missions. The book's story consists of two absolutely poorly planned missions, in which most of the Rangers keep on getting murdered by Comanche, die of thirst, die of cold, of suicide, of fire, all while walking around in the Southern Great Plane, which is where the title comes from: it's mostly walking around and dying, with gratuitous violence thrown in.",,,1,,,0,,,,,
42453224,Mastering the Core Teachings of the Buddha: An Unusually Hardcore Dharma Book,Kathleen  Fitzpatrick,"Fitzpatrick, Kathleen",,1421429462,9.78142E+12,0,3.91,"Oxford University Press, USA",Hardcover,280,2019,,,3/2/2019,to-read,to-read (#1724),to-read,"David Lynch fell asleep on the couch while watching TV, Memento came on, and the next morning he tried to piece together what he saw by writing a book about it.<br/><br/>David, the main character and the main point of view, has just lost his wife Franny. It's unclear how she died, and he doesn't really remember. He tries on and off to solve the mystery, but he doesn't make much headway, as others around him are almost as easily confused, as much of a blank slate, as he is. The police is supposed to investigate but Chico, the town's main policeman, never had a murder, so he drifts in circles at his desk.<br/><br/>Over time the reader learns that Franny was almost, or  even more, as mentally not-quite-there as David. David keeps on finding notes (threats) in the most unlikely places, like this one:<br/><br/><blockquote><br/>I WILL CROSS-STITCH AN IMAGE OF YOUR FUTURE HOME BURNING. I WILL HANG THIS IMAGE OVER YOUR BED WHILE YOU SLEEP.<br/></blockquote><br/><br/>Some of these threats seem brand-new, some of them date back years. All the while David stumbles around, potentially not even trying to make sense of it all. Amelia Gray has a certain way with words that reminded me a bit of Bruno Schulz - characters, descriptions, and dialogues are always not as quite 'there' as they could be. It's definitely not a dream, but it's also not reality.<br/><br/> <blockquote><br/>[Chico] picked a business card from a stack and handed it across the table. “She wants to see you. She has some ideas. She can be incredibly helpful with memory.” David looked at the card:<br/> <br/>MARIE WALLS<br/>TRANCE REGRESSION THERAPY<br/>1201 Southland Dr.<br/>(Garage)<br/>“This is my address,” David said, standing to leave.<br/>“Indeed it is.”<br/>“She’s in my garage? Why wasn’t this mentioned?”<br/>“It had yet to become pertinent.”<br/></blockquote><br/><br/>Everyone is a bit like Twin Peaks' Log Lady, funny but in a vaguely threatening way; what if the log is right?",,,0,,,0,,,,,
54804,Breaking Down is Waking Up: The Connexion Between Psychological Distress and Spiritual Awekening,Larry McMurtry,"McMurtry, Larry",,684857545,9.78068E+12,2,3.92,Simon  Schuster,Paperback,464,2000,1995,,2/21/2019,"america, western","america (#77), western (#5)",read,,,,2,,,0,,,,,
11982625,Comrade Loves of the Samurai,Amelia Gray,"Gray, Amelia",,374533075,9.78037E+12,4,3.03,Harry N. Abrams,Paperback,278,2012,2012,,2/13/2019,america,america (#78),read,,,,1,,,0,,,,,
3175205,War Against the Weak: Eugenics and America's Campaign to Create a Master Race,Hasok Chang,"Chang, Hasok",,195337387,9.7802E+12,0,4.3,Penguin Classics,Paperback,286,2007,2004,,2/24/2019,to-read,to-read (#1723),to-read,,,,0,,,0,,,,,
15802011,Novice to Master: An Ongoing Lesson in the Extent of My Own Stupidity,Marie Arana,"Arana, Marie",,1439110190,9.78144E+12,0,4.09,One World,Hardcover,624,2013,2013,,2/24/2019,to-read,to-read (#1722),to-read,,,,0,,,0,,,,,
41104077,IBM and the Holocaust,Caroline Criado Pérez,"Pérez, Caroline Criado",,1419729071,9.78142E+12,0,4.51,AEON Books,Hardcover,432,2019,2019,,2/24/2019,to-read,to-read (#1721),to-read,,,,0,,,0,,,,,
1581610,Superior: The Return of Race Science,Anaïs Nin,"Nin, Anaïs",,140184732,9.78014E+12,0,4.01,Watkins Publishing,Paperback,138,1992,1966,,2/22/2019,to-read,to-read (#1720),to-read,,,,0,,,0,,,,,
40163362,Diderot and the Art of Thinking Freely,Maurice Carlos Ruffin,"Ruffin, Maurice Carlos",,525509062,9.78053E+12,0,3.72,Tuttle Publishing,Hardcover,336,2019,2019,,2/21/2019,to-read,to-read (#1719),to-read,,,,0,,,0,,,,,
4129848,Meditation in Action,Daniel M. Ingram,"Ingram, Daniel M.",,1904658407,9.7819E+12,0,4.33,Thunder's Mouth Press/Avalon Publishing Group (NYC),Paperback,406,2008,2007,,2/21/2019,to-read,to-read (#1718),to-read,"Interesting little book from the 1600s - a bunch of short stories around homosexual love, but more in the Greek sense of between a young and an older man (one story hints that such love between similarly-aged men was weird). As it is typical for older Japanese literature, a lot of these stories focus on life at court, intrigues, and ultimately sacrifice either in battle or in suicide (except for one hilarious story about two old guys who decided to stick together after their youthful 'affair', happily shouting at 'disgusting' women in their old age).<br/><br/>I mean, how often do you read descriptions like this?<br/><br/><blockquote><br/>Korin was very beautiful: his young, untroubled face was like a serene moon in the autumn sky; his black hair was  lotus, and his voice had the love-murmuring of the nightingale amid young peach blossoms.<br/></blockquote><br/><br/>The second part is a collection of Geisha songs - these are relatively simple and I guess the translation is not too flowery, so they're nowhere close to famous Haiku. But those stand out to me in two texts: one a relatively simple description of new love (haven't felt that in a while!), and one for this awesome formulation:<br/><br/><blockquote><br/>The moon is disgustingly modest<br/>under a great cloud<br/>When I am waiting,<br/>And when he comes<br/>She spitefully breaks forth<br/></blockquote><br/><br/>*shakes fist at moon*<br/>",,,0,,,0,,,,,
20342672,Prison Notebooks,Russell Razzaque,"Razzaque, Russell",,1780288034,9.78178E+12,0,3.98,Wisdom Publications,Hardcover,272,2014,2014,,2/21/2019,to-read,to-read (#1717),to-read,,,,0,,,0,,,,,
221931,Dreyer’s English: An Utterly Correct Guide to Clarity and Style,Soko Morinaga,"Morinaga, Soko",Belenda Attaway Yamakawa,861713931,9.78086E+12,0,4.23,Other Press (NY),Paperback,160,2002,2002,,2/21/2019,to-read,to-read (#1715),to-read,,,,0,,,0,,,,,
48838,Sirens,Edwin Black,"Black, Edwin",,751531995,9.78075E+12,0,3.97,Shambhala,Capa comum,592,2002,1999,,2/20/2019,to-read,to-read (#1714),to-read,"I first learned about this book in the Shunryu Suzuki biography Crooked Cucumber. Trungpa was a friend of Suzuki, and Suzuki spoke highly of Trungpa. History has shown to be Trungpa to be... not a good man? He would often have sexual relationships with his students, once even using his 'guards' to strip students naked (see <a href='https://en.wikipedia.org/wiki/Ch%C3%B6gyam_Trungpa#Controversies'>Wikipedia</a>). To me that doesn't sound particularly enlightened, more like someone abusing their position.<br/><br/>Here we have a few collected speeches of Trungpa, and they're actually *good*, if a bit too short. I can see why his style of meditation immediately became popular in the West, it's meditation without a need for religion or spirituality: ' In fact, it is the essence of meditation. Whatever one does, whatever one tries to practice, is not aimed at achieving a higher state or at following some theory or ideal, but simply, without any object or ambition, trying to see what is here and now.'<br/><br/>There is an amazing discussion of how the ego is in your way, and by giving away things (even only symbolically, like a single cheap thing you are emotionally attached to) is one way of getting away from your ego - similar like having a teacher won't help you learn new things (in meditation, at least) but they're a way to protect you from your ego, as their teaching will come from the outside:<br/><br/><blockquote><br/>So one must also be very grateful to the teacher. And that is a great protection against the ego, since you do not look on it as something discovered within yourself, but as something which someone else has given you. He gives you this gift; although in reality the transmission is not, as we said, something given to you, it is simply discovered within oneself.<br/></blockquote><br/><br/>Funny enough, opposing the title there is not much advice on how to meditate 'best', Trungpa leaves that to the personal teachers.<br/><br/><br/>Some other good advice:<br/><br/><blockquote><br/>For unless one is able to overcome this excitement, one will not be able to learn, because any form of emotional excitement has a blinding effect. One fails to see life as it is because one tends so much to build up one’s own version of it. Therefore one should never commit oneself or conform to any religious or political structure without first finding the real essence of what one is looking for. Labeling oneself, adopting an ascetic way of life or changing one’s costume—none of these brings about any real transformation.<br/></blockquote><br/><br/>Curiously, there's a lot of good stuff here, even if you're not looking to learn more about Buddhism or meditation.",,,0,,,0,,,,,
40004687,"Miss Thistlebottom's Hobgoblins: The Careful Writer's Guide to the Taboos, Bugbears and Outmoded Rules of English Usage",Andrew S. Curran,"Curran, Andrew S.",,1590516702,9.78159E+12,0,4.09,Büchner-Verlag,Hardcover,520,2019,2019,,2/17/2019,to-read,to-read (#1712),to-read,,,,0,,,0,,,,,
1044900,Crooked Cucumber: The Life and Teaching of Shunryu Suzuki,Chögyam Trungpa,"Trungpa, Chögyam",,1570622027,9.78157E+12,3,4.17,Columbia University Press,Paperback,96,1996,1969,,2/11/2019,,,read,,,,1,,,0,,,,,
44009305,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Dirk von Lowtzow,"Lowtzow, Dirk von",,3462050796,9.78346E+12,0,3.53,Random House,Hardcover,192,2019,,,2/14/2019,to-read,to-read (#1711),to-read,,,,0,,,0,,,,,
42508789,Digital Minimalism: Choosing a Focused Life in a Noisy World,Björn Vedder,"Vedder, Björn",,,,0,0,Cambridge University Press,Kindle Edition,160,2018,,,2/12/2019,to-read,to-read (#1710),to-read,,,,0,,,0,,,,,
9278805,A Planet for Rent,Antonio Gramsci,"Gramsci, Antonio",,023115755X,9.78023E+12,0,4.19,Perpetual Motion Machine Publishing,Paperback,2032,2011,1947,,1/8/2017,to-read,to-read (#1367),to-read,,,,0,,,0,,,,,
40063024,A Concise History of Sunnis and Shi‘is,Benjamin Dreyer,"Dreyer, Benjamin",,812995708,9.78081E+12,4,4.41,Centro Books,Hardcover,291,2019,2019,,1/31/2019,"non-fiction, on-writing, english-what-a-mess","non-fiction (#163), on-writing (#7), english-what-a-mess (#1)",read,"<blockquote><br/>But there is no need for you to seek for anything. You have plenty, and you have just enough problems. This is a mysterious thing, you know, the mystery of life. We have just enough problems, not too many or too few.<br/></blockquote><br/><br/>Here we have the biography of Shunryu Suzuki, the Japanese Zen master who popularised Zazen in the West in the 1960s, written by one of his disciples. I haven't read many books on Zen - only [b:Sit Down and Shut Up: Punk Rock Commentaries on Buddha, God, Truth, Sex, Death, and Dogen's Treasury of the Right Dharma Eye|676003|Sit Down and Shut Up  Punk Rock Commentaries on Buddha, God, Truth, Sex, Death, and Dogen's Treasury of the Right Dharma Eye|Brad Warner|https://images.gr-assets.com/books/1328854835s/676003.jpg|662004] about 10 years ago - and I didn't grow up in the US counter-culture movement, so I wasn't particularly aware of Suzuki, but it's still a highly enjoyable biography of an obviously kind-hearted, but conflicted, person.<br/><br/>Chadwick describes Suzuki's upbringing in Japan as a son of a Zen temple's abbot, his training to take over the temple, and his dreams of moving to the US to teach Zen to westerners. Suzuki was an 'original' by definition, a 'Schalk' in German:<br/><br/><blockquote><br/>When Seison showed Shunryu a beautiful large pot that bore his characteristic splash of crimson, he told Shunryu he wasn’t going to sell it. “Good,” said Shunryu, “I’ll take it,” and he did. Later when Seison and his son were visiting Rinso-in, he brought a wooden storage box he had made for the pot. Shunryu asked Seison if he would give the pot a name and write it in sumi on the box. “Pot stolen by a monk,” Seison wrote, to Shunryu’s delight.<br/></blockquote><br/><br/>The book is full of tiny quotes and snippets from Suzuki's speeches and books, and serve as a good (if cursory) intro to Zen Buddhist thought, like the one I put at the top of this text. Along the story of Suzuki's life you get heaps of small funny stories like the one above, but also some darker points, such as his complicated relationship with his children and his wife, <br/><br/>You learn about his move to the US in his 50s to become a Japanese community's priest, then subsequent switch to a counter-culture icon (Ginsberg and Watts appear, among many other 'famous' names), founding of the Tassajara Zen Mountain Center, then sickness and finally, death. It's not just a biography but an attempt at an introduction to Suzuki's thought - it's always (frustratingly!) hard to pin down Zen or Buddhist thought with its counter-intuitive koans and seemingly illogical exclamations, but you still learn that Suzuki's thought and teaching was very different from contemporary Zen teaching - no koans, only Zazen, only sitting. There are rules as to living in the monastery, but it's not so bad if you break them, as long as you follow them in spirit.<br/><br/>Chadwick's own stories about Suzuki give the book a very warm tone:<br/><br/><blockquote><br/>I went to Suzuki’s cabin unannounced after dinner one night and was invited in. Never known for moderation, I was, at this time in my life, alternating between periods of austerity and indulgence. I felt guilty. I told him I couldn’t stop snacking in the kitchen. Sometimes I’d sneak into the kitchen at night, eat leftover guest desserts, and drink their half-and-half. Suzuki reached under his desk conspiratorially. “Here, have some jelly beans,” he said.<br/></blockquote><br/><br/>Suzuki's interaction with the Hippie culture of the 60s and 70s is great fun, great to see how so many people decrying rules and their parents' strict structures suddenly become happy with following a strict day-plan in pursuit of enlightenment (which Suzuki didn't think much of!). I'd like to read more about that!<br/><br/>As a scientist, it's great to think about 'beginner's mind' in your work - like all models, the models we have built over the past 100, 200 years of how reality works are all more-or-less wrong anyway, so it's great not to become bogged down in the 'expert's mind' where there are only few possibilities of outcomes. You don't have to mistrust everything, you just have to keep in mind that everything changes.<br/><br/><a href='https://www.youtube.com/watch?v=pHNyCAJXUXE'>Now go watch this video.</a>",,,1,,,0,,,,,
17665908,"The Vanished: The ""Evaporated People"" of Japan in Stories and Photographs",Kurt Reichenbaugh,"Reichenbaugh, Kurt",,988748835,9.78099E+12,0,3.98,Beacon Press,Paperback,270,2013,2013,,2/11/2019,to-read,to-read (#1708),to-read,,,,0,,,0,,,,,
782375,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Theodore M. Bernstein,"Bernstein, Theodore M.",,1933572000,9.78193E+12,0,4,Portfolio,Paperback,260,2006,1971,,2/11/2019,to-read,to-read (#1707),to-read,,,,0,,,0,,,,,
260649,"People Skills: How to Assert Yourself, Listen to Others, and Resolve Conflicts",David       Chadwick,"Chadwick, David",,767901053,9.78077E+12,4,4.26,Restless Books,Paperback,464,2000,1999,,4/30/2014,"america, japan, biography, non-fiction","america (#76), japan (#30), biography (#24), non-fiction (#162)",read,,,,1,,,0,,,,,
95747,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Thich Nhat Hanh,"Hanh, Thich Nhat",Mobi Ho,807012394,9.78081E+12,0,4.26,Suhrkamp,Paperback,140,1999,1975,,2/10/2019,to-read,to-read (#1706),to-read,"This won this (2017) year's German Book Prize, and I guess that is a statement from the jury in times where far right, nationalistic voices are getting louder and more powerful in many European countries.<br/><br/>It's a European Union novel, set in Brussels, with the majority of figures being somehow involved in EU government. Several intertwined and connected stories are framed by a literal pig running through Brussels, I guess that's a joke based on the German 'die Sau durchs Dorf treiben' (to force the pig through the village), which means that you make a big issue out of something. When a small thing is hyped by the press then they are driving the pig through the village. (the joke here is that the press hypes up the story of the phantom pig)<br/><br/>What makes this book such a pleasure to read is that it believes in the concept of the European Union, and that the author wants to tell you what ails it (a good book to read after [b:Mein Jahr als Mörder|1798068|Mein Jahr als Mörder|Friedrich Christian Delius|https://images.gr-assets.com/books/1188494240s/1798068.jpg|1797165], which featured the story of a resistance group in the 1930s calling itself the European Union). Most of the main characters believe in the EU's dream, but they are somewhat ground down by the EU's system. Most states forgot what the EU stands for, so they try to get the best for their own country only, and you get some kind of <a href='https://en.wikipedia.org/wiki/Tragedy_of_the_commons'>Tragedy Of The Commons</a> since each state negotiating on its own winds up getting a worse deal. Other characters in the novel are pure careerists, so they try to play it as safe as possible, and the idea is slowly forgotten.<br/><br/>The main story is that the European Commission's birthday is coming up, and one of the protagonists would like to use this event to remind people why they started this project in the first place (I guess this is also what the author is trying to do with the book, <i>neat</i>). The character wants to move the EU's image from a weird faraway bureaucracy to the keeper of history's lessons and human rights. Nationalism leads to racism and war, and in its ultimate consequence, Auschwitz. This I guess is Menasse himself - he wrote similar ideas in nonfiction books before that were mostly ignored, see for example <a href='http://press.uchicago.edu/ucp/books/book/distributed/E/bo24016595.html>this one</a>. And that's why I like the book so much, the project o fthe European Union is a project worth fighting for.<br/><br/>It all sounds dry but it's a very funny, enthralling book - for example, people hate to work in the 'culture' part of the EU since there's no funding and no power, so you get dialogue like 'you got to rescue me from culture!'.<br/>Or: one of the EU bureaucrats has to fly to Auschwitz for a small event, and since it will be cold, he asks the next shop what the best clothes would be, and they recommend German underwear. 'German underwear is the best for Auschwitz!'<br/><br/>This is the best book you can get featuring the bureaucracy of the European Union! Then again, there's maybe 5 books about that.<br/><br/>(I liked it all except for that very strange Dan Brown-like substory of a Vatican assassin that went nowhere, that was just weird)<br/><br/><blockquote><br/>In der Autobiographie von Armand Moens hatte er gelesen: »Geschichte ist nicht nur die Erzählung davon, was war, sondern auch die stetige Verarbeitung der Gründe, warum Vernünftigeres nicht sein konnte.«<br/></blockquote><br/><br/>P.S.: Is this the first German Book Prize novel that uses the word 'shitstorm'?",,,0,,,0,,,,,
40672036,Economics: The User's Guide,Cal Newport,"Newport, Cal",,,,0,4.07,Saqi Books,Kindle Edition,302,2019,2019,,2/10/2019,to-read,to-read (#1705),to-read,,,,0,,,0,,,,,
22067499,Ursula K. Le Guin: The Last Interview and Other Conversations,Yoss,"Yoss, Yoss",David Frye,,9.78163E+12,0,3.98,Skyhorse,ebook,347,2014,2011,,2/10/2019,to-read,to-read (#1704),to-read,,,,0,,,0,,,,,
35969335,Broken Stars: Contemporary Chinese Science Fiction in Translation,Robert Menasse,"Menasse, Robert",,351842758X,9.78352E+12,4,3.74,Doubleday,Hardcover,460,2017,2017,,11/7/2017,"austria, europe","austria (#4), europe (#1)",read,,,,1,,,0,,,,,
36196217,The Life of Stuff: A memoir about the mess we leave behind,John McHugo,"McHugo, John",,,9.78086E+12,0,3.95,Touchstone,Hardcover,347,2017,,,2/7/2019,to-read,to-read (#1703),to-read,,,,0,,,0,,,,,
28695789,The Demon in the Machine: How Hidden Webs of Information Are Finally Solving the Mystery of Life,Léna Mauger,"Mauger, Léna","Stéphane Remael, Brian Phalen",151070826X,9.78151E+12,0,3.8,PublicAffairs,Hardcover,272,2016,2014,,2/7/2019,to-read,to-read (#1702),to-read,,,,0,,,0,,,,,
27833494,The End of Ice: Bearing Witness and Finding Meaning in the Path of Climate Disruption,Jane Mayer,"Mayer, Jane",,,,0,4.36,Melbourne University Press Digital,ebook,464,2016,2016,,2/5/2019,to-read,to-read (#1701),to-read,,,,0,,,0,,,,,
65327,"Beowulf: A Translation and Commentary, together with Sellic Spell",Robert   Bolton,"Bolton, Robert",,067162248X,9.78067E+12,0,4.01,Bloomsbury Press,Paperback,324,1986,1979,,2/5/2019,to-read,to-read (#1700),to-read,,,,0,,,0,,,,,
26195941,"Infomocracy (The Centenal Cycle, #1)",Shoshana Zuboff,"Zuboff, Shoshana",,1610395697,9.78161E+12,0,4.11,Melville House,Hardcover,704,2019,2016,,2/5/2019,to-read,to-read (#1699),to-read,,,,0,,,0,,,,,
39701136,Last Dance in Phoenix,Joëlle Gergis,"Gergis, Joëlle",,,,0,4.22,Tor Books,Kindle Edition,277,2018,,,2/5/2019,to-read,to-read (#1698),to-read,,,,0,,,0,,,,,
20613671,"Death Wish (Paul Benjamin, #1)",Ha-Joon Chang,"Chang, Ha-Joon",,1620408120,9.78162E+12,5,4.16,Transworld Digital,Hardcover,384,2014,2014,,1/6/2019,"economics, non-fiction","economics (#1), non-fiction (#161)",read,,,,1,,,0,,,,,
42610087,Kids These Days: Human Capital and the Making of Millennials,Ursula K. Le Guin,"Guin, Ursula K. Le",David Streitfeld,1612197795,9.78161E+12,0,4.33,Allen Lane,Paperback,208,2019,2019,,1/30/2019,to-read,to-read (#1696),to-read,,,,0,,,0,,,,,
39863330,Autonomous,Ken Liu,"Liu, Ken","Xia Jia, Zhang Ran, Tang Fei, Han Song, Cheng Jingbo, Baoshu, Hao Jingfang, Fei Dao, Liu Cixin, Anna Wu, Ma Boyong, Gu Shi, Regina Kanyu Wang, Chen Qiufan, Mingwei Song",1250297664,9.78125E+12,0,3.92,The New Press,Hardcover,480,2019,2019,,1/30/2019,to-read,to-read (#1697),to-read,,,,0,,,0,,,,,
36055896,Twitter and Tear Gas: The Power and Fragility of Networked Protest,Susannah Walker,"Walker, Susannah",,1473552788,9.78147E+12,0,3.74,Houghton Mifflin Harcourt,ebook,,2018,,,1/29/2019,to-read,to-read (#1695),to-read,"This is pure policy nerd SF, with some fun connections to the two decades older [b:Only Forward|920395|Only Forward|Michael Marshall Smith|https://images.gr-assets.com/books/1333726911s/920395.jpg|123899]. In the near future, nation-states have been abolished, instead the search giant Information (like a mash-up of Facebook/Google, but with large editorialising teams) runs micro-democracy, where regions vote which corporations should run them, and the party that wins supermajority is essentially ruler of the world. We follow two main characters - Mishima, who could've stepped straight out of a William Gibson novel, a beautiful Japanese spy who works for Information, trained in combat, clad in black, etc., and Ken, an information worker for Policy1st, one of the smaller groups vying for supermajority, a bit of war, a bit of information warfare. The story is set around the 3rd election for supermajority, and how several forces are trying to manipulate the flow of information behind the scenes, and how both main characters try to avoid that.<br/><br/>There are some classic cyberpunk elements: Information is connected with everyone's eyes all the time, so people can access information on everything they see, all the time. Like most 'classic' cyberpunk this is set mostly in Japan, with Japanese (or half-Japanese?) characters taking center-stage. Funny enough, I'm writing this review while waiting for a flight at the Tokyo-Narita airport, I even had two earthquakes last week (but not as big as the one featured in the story).<br/><br/>What sets this apart from other cyberpunk are two factors:<br/><br/>1) There is <i>much</i> more focus on politics/policy than usual, which makes sense if you look at the author's background. In that regard it's closer to [b:Taiko: An Epic Novel of War and Glory in Feudal Japan|336228|Taiko  An Epic Novel of War and Glory in Feudal Japan|Eiji Yoshikawa|https://images.gr-assets.com/books/1348457306s/336228.jpg|1337700] than [b:Pattern Recognition|22320|Pattern Recognition (Blue Ant, #1)|William Gibson|https://images.gr-assets.com/books/1288326931s/22320.jpg|2455062].<br/><br/>2) All SF is a mirror of the time it has been written in. The focus here is on how governments and large entities can change perceived reality by replacing access to information, i.e., 'fake news'. Most cyberpunk feels stale with a strong 80s feel, but this focus on 'fake news' makes it contemporary. <br/><br/>What a smart book!",,,0,,,0,,,,,
37860033,Normal People,Paul Davies,"Davies, Paul",,024130959X,9.78024E+12,0,3.9,Tor.com,Hardcover,272,2019,,,1/27/2019,to-read,to-read (#1694),to-read,,,,0,,,0,,,,,
